series_id,observed_sales,recovered_demand,recovered_lost_demand,stockout_rate,stockout_rows,n_rows,Recovered lift over observed,Recovered share from imputation
0_554_90,39.3,72.377625,33.07762,0.7339409722222222,1691,2304,0.8416698,0.45701447
0_597_41,39.850002,71.95406,32.10406,0.6150173611111112,1417,2304,0.8056226,0.4461744
3_724_188,45.3,76.96711,31.66711,0.7248263888888888,1670,2304,0.6990532,0.41143692
4_356_90,39.05,66.22172,27.171719,0.6028645833333334,1389,2304,0.69581866,0.41031432
11_533_129,43.7,72.71583,29.015827,0.7161458333333334,1650,2304,0.66397774,0.39903042
6_493_129,44.2,73.497986,29.297985,0.7356770833333334,1695,2304,0.6628503,0.39862296
0_173_90,55.300003,91.74084,36.440834,0.6536458333333334,1506,2304,0.65896624,0.39721498
5_6_757,44.5,72.811874,28.31187,0.7447916666666666,1716,2304,0.6362218,0.3888359
12_228_129,45.7,74.08571,28.385704,0.6666666666666666,1536,2304,0.62113136,0.38314682
3_835_333,46.7,74.90629,28.206291,0.6944444444444444,1600,2304,0.6039891,0.37655437
6_369_757,43.96,70.28737,26.32737,0.5894097222222222,1358,2304,0.59889376,0.37456757
0_78_129,52.3,82.01924,29.719236,0.6215277777777778,1432,2304,0.5682455,0.36234468
12_603_129,44.2,68.93596,24.73596,0.62109375,1431,2304,0.55963707,0.3588252
0_185_129,48.9,75.35287,26.452866,0.5694444444444444,1312,2304,0.5409584,0.3510532
0_850_90,55.77,84.93659,29.166588,0.5607638888888888,1292,2304,0.52297986,0.3433925
12_230_822,39.21,59.68959,20.47959,0.5837673611111112,1345,2304,0.52230525,0.34310153
3_809_129,42.0,63.77618,21.776178,0.5763888888888888,1328,2304,0.5184804,0.34144688
1_123_73,44.5,67.286644,22.786642,0.5993923611111112,1381,2304,0.5120594,0.3386503
3_766_44,43.280003,65.06522,21.785225,0.5321180555555556,1226,2304,0.50335544,0.33482134
12_390_757,47.530003,71.37051,23.840508,0.6519097222222222,1502,2304,0.5015886,0.33403865
3_857_188,40.11,59.99765,19.88765,0.4991319444444444,1150,2304,0.4958277,0.3314738
12_313_41,41.22,61.657352,20.437351,0.4891493055555556,1127,2304,0.49581152,0.3314666
3_110_315,42.0,62.778576,20.778574,0.5568576388888888,1283,2304,0.49472794,0.33098194
0_190_41,46.37,69.19248,22.822483,0.4496527777777778,1036,2304,0.4921821,0.3298405
0_243_26,41.34,61.494244,20.154243,0.6041666666666666,1392,2304,0.48752403,0.32774195
16_324_129,49.2,73.04407,23.844069,0.6089409722222222,1403,2304,0.48463553,0.32643402
12_313_129,47.5,70.47769,22.977692,0.5525173611111112,1273,2304,0.48374087,0.32602787
3_108_129,50.54,74.90566,24.36566,0.5993923611111112,1381,2304,0.48210645,0.32528463
12_558_129,51.3,75.92241,24.622408,0.5928819444444444,1366,2304,0.47996897,0.32431015
3_107_517,43.3,64.06577,20.765772,0.5598958333333334,1290,2304,0.47957903,0.32413208
